KOR, 2009, 38.6
KOR, 2010, 39.6
KOR, 2011, 36.6
KOR, 2012, 36.3
KOR, 2013, 36.6
KOR, 2014, 36.7
KOR, 2015, 37.2
KOR, 2016, 36.7
KOR, 2017, 34.6
KOR, 2018, 34.1
KOR, 2019, 32.5
LUX, 2002, 15.1
LUX, 2006, 7.7
LUX, 2010, 4.6
LUX, 2014, 3.4
MEX, 2005, 16.7
MEX, 2006, 18.6
MEX, 2007, 12.5
MEX, 2008, 22.2
MEX, 2009, 16.7
MEX, 2010, 11.6
MEX, 2011, 10.0
MEX, 2012, 13.6
MEX, 2013, 15.4
MEX, 2014, 18.3
MEX, 2015, 16.7
MEX, 2016, 16.5
MEX, 2017, 11.1
MEX, 2018, 14.0
MEX, 2019, 18.8
NLD, 2002, 15.6
NLD, 2006, 16.0
NLD, 2010, 17.9
NLD, 2014, 15.3
NZL, 2000, 7.2
NZL, 2001, 8.1
NZL, 2002, 7.3
NZL, 2003, 7.7
NZL, 2004, 8.1
NZL, 2005, 9.6
NZL, 2006, 9.3
NZL, 2007, 7.1
NZL, 2008, 8.1
NZL, 2009, 8.8
NZL, 2010, 7.0
NZL, 2011, 4.5
NZL, 2012, 5.9
NZL, 2013, 6.6
NZL, 2014, 6.1
NZL, 2015, 7.9
NZL, 2016, 7.8
NZL, 2017, 7.2
GBR, 2013, 17.5
NZL, 2018, 7.9
NZL, 2019, 6.5
NOR, 2000, 9.2
NOR, 2001, 9.8
NOR, 2002, 9.7
NOR, 2003, 9.3
NOR, 2004, 8.4
NOR, 2005, 8.6
NOR, 2006, 8.2
NOR, 2007, 8.8
NOR, 2008, 8.8
NOR, 2009, 8.3
NOR, 2010, 7.2
NOR, 2011, 7.1
NOR, 2012, 5.8
NOR, 2013, 6.6
NOR, 2014, 5.8
NOR, 2015, 7.0
NOR, 2016, 6.3
NOR, 2017, 5.5
NOR, 2018, 5.1
NOR, 2019, 4.4
POL, 2001, 14.3
POL, 2002, 11.3
POL, 2004, 10.6
POL, 2006, 11.4
POL, 2008, 13.0
POL, 2010, 7.2
POL, 2012, 10.6
POL, 2014, 11.1
POL, 2016, 9.4
POL, 2018, 11.5
PRT, 2006, 12.8
PRT, 2010, 16.0
PRT, 2014, 15.3
PRT, 2018, 11.7
SVK, 2002, 20.4
SVK, 2003, 20.7
SVK, 2004, 20.9
SVK, 2005, 20.1
SVK, 2006, 17.8
SVK, 2007, 17.5
SVK, 2008, 16.4
SVK, 2009, 16.4
SVK, 2010, 14.9
SVK, 2011, 15.4
SVK, 2012, 16.0
SVK, 2013, 14.1
SVK, 2014, 14.4
SVK, 2015, 13.4
SVK, 2016, 13.9
